movieId,title,genres,description
58,Movie 58 (2012),Crime|Animation|Drama,A crime movie about complex  characters in a modern world.
59,Movie 59 (2013),Documentary|Drama|Fantasy,A documentary movie about complex  characters in a modern world.
60,Movie 60 (2014),Action|Comedy|Fantasy,A action movie about heroic  characters in a modern world.
61,Movie 61 (2015),Comedy|Horror|Crime,A comedy movie about complex  characters in a modern world.
62,Movie 62 (2016),Documentary,A documentary movie about complex  characters in a modern world.
63,Movie 63 (2017),Comedy|Drama,A comedy movie about complex  characters in a modern world.
64,Movie 64 (2018),Horror,A horror movie about complex  characters in a modern world.
65,Movie 65 (2019),Crime,A crime movie about complex  characters in a modern world.
66,Movie 66 (2020),Documentary|Horror,A documentary movie about complex  characters in a modern world.
67,Movie 67 (2021),Adventure|Thriller|Comedy,A adventure movie about complex  characters in a modern world.
68,Movie 68 (2022),Comedy|Animation|Fantasy,A comedy movie about complex  characters in a modern world.
69,Movie 69 (2000),Adventure|Crime|Action,A adventure movie about heroic  characters in a modern world.
70,Movie 70 (2001),Thriller,A thriller movie about complex  characters in a modern world.
71,Movie 71 (2002),Animation|Thriller|Documentary,A animation movie about complex  characters in a modern world.
72,Movie 72 (2003),Comedy,A comedy movie about complex  characters in a modern world.
73,Movie 73 (2004),Fantasy,A fantasy movie about complex  characters in a modern world.
74,Movie 74 (2005),Animation|Comedy|Adventure,A animation movie about complex  characters in a modern world.
75,Movie 75 (2006),Fantasy|Thriller,A fantasy movie about complex  characters in a modern world.
76,Movie 76 (2007),Action|Drama,A action movie about heroic  characters in a modern world.
77,Movie 77 (2008),Fantasy|Horror,A fantasy movie about complex  characters in a modern world.
78,Movie 78 (2009),Horror|Adventure,A horror movie about complex  characters in a modern world.
79,Movie 79 (2010),Sci-Fi|Crime,A sci-fi movie about complex  characters in a futuristic world.
80,Movie 80 (2011),Horror|Sci-Fi|Crime,A horror movie about complex  characters in a futuristic world.
81,Movie 81 (2012),Horror|Fantasy|Drama,A horror movie about complex  characters in a modern world.
82,Movie 82 (2013),Documentary|Drama|Animation,A documentary movie about complex  characters in a modern world.
83,Movie 83 (2014),Crime,A crime movie about complex  characters in a modern world.
84,Movie 84 (2015),Documentary|Fantasy,A documentary movie about complex  characters in a modern world.
85,Movie 85 (2016),Thriller,A thriller movie about complex  characters in a modern world.
86,Movie 86 (2017),Documentary|Drama,A documentary movie about complex  characters in a modern world.
87,Movie 87 (2018),Action|Sci-Fi|Documentary,A action movie about heroic  characters in a futuristic world.
88,Movie 88 (2019),Action,A action movie about heroic  characters in a modern world.
89,Movie 89 (2020),Fantasy|Crime,A fantasy movie about complex  characters in a modern world.
90,Movie 90 (2021),Sci-Fi|Crime,A sci-fi movie about complex  characters in a futuristic world.
91,Movie 91 (2022),Sci-Fi,A sci-fi movie about complex  characters in a futuristic world.
92,Movie 92 (2000),Fantasy|Documentary,A fantasy movie about complex  characters in a modern world.
93,Movie 93 (2001),Horror|Animation|Thriller,A horror movie about complex  characters in a modern world.
94,Movie 94 (2002),Crime,A crime movie about complex  characters in a modern world.
95,Movie 95 (2003),Drama|Horror|Fantasy,A drama movie about complex  characters in a modern world.
96,Movie 96 (2004),Fantasy|Documentary,A fantasy movie about complex  characters in a modern world.
97,Movie 97 (2005),Documentary|Fantasy|Thriller,A documentary movie about complex  characters in a modern world.
98,Movie 98 (2006),Drama,A drama movie about complex  characters in a modern world.
99,Movie 99 (2007),Sci-Fi,A sci-fi movie about complex  characters in a futuristic world.
100,Movie 100 (2008),Action|Documentary|Crime,A action movie about heroic  characters in a modern world.
